Year,Season,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,PTS,Diff,3pt_attempt_pct,year2,season_team,avg_3pt_attempted_per_game,avg_2pt_att_per_game,avg_fg_per_game
2024,2023-24,Boston Celtics,82,19830,3601,7396,49%,1351,3482,39%,2250,3914,58%,9887,-432,47%,23-24,23-24 Boston Celtics,42.46341463,47.73170732,90.19512195
2024,2023-24,Dallas Mavericks,82,19705,3535,7352,48%,1197,3242,37%,2338,4110,57%,9664,-868,44%,23-24,23-24 Dallas Mavericks,39.53658537,50.12195122,89.65853659
2024,2023-24,Sacramento Kings,82,19855,3553,7455,48%,1178,3219,37%,2375,4236,56%,9558,-1017,43%,23-24,23-24 Sacramento Kings,39.25609756,51.65853659,90.91463415
2024,2023-24,Milwaukee Bucks,82,19805,3538,7258,49%,1163,3122,37%,2375,4136,57%,9756,-1014,43%,23-24,23-24 Milwaukee Bucks,38.07317073,50.43902439,88.51219512
2024,2023-24,Memphis Grizzlies,82,19780,3145,7230,44%,1071,3097,35%,2074,4133,50%,8677,-1036,43%,23-24,23-24 Memphis Grizzlies,37.76829268,50.40243902,88.17073171
2024,2023-24,Golden State Warriors,82,19830,3582,7515,48%,1211,3191,38%,2371,4324,55%,9657,-1133,42%,23-24,23-24 Golden State Warriors,38.91463415,52.73170732,91.64634146
2024,2023-24,Cleveland Cavaliers,82,19805,3425,7148,48%,1108,3016,37%,2317,4132,56%,9236,-1116,42%,23-24,23-24 Cleveland Cavaliers,36.7804878,50.3902439,87.17073171
2024,2023-24,Brooklyn Nets,82,19805,3334,7307,46%,1089,3010,36%,2245,4297,52%,9050,-1287,41%,23-24,23-24 Brooklyn Nets,36.70731707,52.40243902,89.1097561
2024,2023-24,Atlanta Hawks,82,19855,3529,7584,47%,1125,3092,36%,2404,4492,54%,9703,-1400,41%,23-24,23-24 Atlanta Hawks,37.70731707,54.7804878,92.48780488
2024,2023-24,Utah Jazz,82,19805,3443,7371,47%,1060,2993,35%,2383,4378,54%,9484,-1385,41%,23-24,23-24 Utah Jazz,36.5,53.3902439,89.8902439
2024,2023-24,New York Knicks,82,19730,3385,7272,47%,1083,2936,37%,2302,4336,53%,9249,-1400,40%,23-24,23-24 New York Knicks,35.80487805,52.87804878,88.68292683
2024,2023-24,San Antonio Spurs,82,19830,3438,7436,46%,1036,2983,35%,2402,4453,54%,9192,-1470,40%,23-24,23-24 San Antonio Spurs,36.37804878,54.30487805,90.68292683
2024,2023-24,Houston Rockets,82,19855,3425,7459,46%,1043,2964,35%,2382,4495,53%,9375,-1531,40%,23-24,23-24 Houston Rockets,36.14634146,54.81707317,90.96341463
2024,2023-24,Miami Heat,82,19755,3266,7022,47%,1022,2765,37%,2244,4257,53%,9032,-1492,39%,23-24,23-24 Miami Heat,33.7195122,51.91463415,85.63414634
2024,2023-24,Charlotte Hornets,82,19730,3281,7133,46%,989,2788,36%,2292,4345,53%,8740,-1557,39%,23-24,23-24 Charlotte Hornets,34,52.98780488,86.98780488
2024,2023-24,Washington Wizards,82,19730,3523,7493,47%,1015,2915,35%,2508,4578,55%,9327,-1663,39%,23-24,23-24 Washington Wizards,35.54878049,55.82926829,91.37804878
2024,2023-24,Minnesota Timberwolves,82,19805,3383,6974,49%,1037,2681,39%,2346,4293,55%,9264,-1612,38%,23-24,23-24 Minnesota Timberwolves,32.69512195,52.35365854,85.04878049
2024,2023-24,Oklahoma City Thunder,82,19805,3653,7324,50%,1090,2805,39%,2563,4519,57%,9847,-1714,38%,23-24,23-24 Oklahoma City Thunder,34.20731707,55.1097561,89.31707317
2024,2023-24,Los Angeles Clippers,82,19705,3473,7108,49%,1036,2719,38%,2437,4389,56%,9481,-1670,38%,23-24,23-24 Los Angeles Clippers,33.15853659,53.52439024,86.68292683
2024,2023-24,Indiana Pacers,82,19705,3855,7599,51%,1082,2891,37%,2773,4708,59%,10110,-1817,38%,23-24,23-24 Indiana Pacers,35.25609756,57.41463415,92.67073171
2024,2023-24,Phoenix Suns,82,19780,3482,7063,49%,1020,2671,38%,2462,4392,56%,9532,-1721,38%,23-24,23-24 Phoenix Suns,32.57317073,53.56097561,86.13414634
2024,2023-24,New Orleans Pelicans,82,19705,3484,7165,49%,1023,2673,38%,2461,4492,55%,9436,-1819,37%,23-24,23-24 New Orleans Pelicans,32.59756098,54.7804878,87.37804878
2024,2023-24,Philadelphia 76ers,82,19780,3404,7331,46%,992,2733,36%,2412,4598,53%,9397,-1865,37%,23-24,23-24 Philadelphia 76ers,33.32926829,56.07317073,89.40243902
2024,2023-24,Portland Trail Blazers,82,19880,3227,7356,44%,939,2723,35%,2288,4633,49%,8722,-1910,37%,23-24,23-24 Portland Trail Blazers,33.20731707,56.5,89.70731707
2024,2023-24,Orlando Magic,82,19780,3318,6964,48%,903,2568,35%,2415,4396,55%,9058,-1828,37%,23-24,23-24 Orlando Magic,31.31707317,53.6097561,84.92682927
2024,2023-24,Toronto Raptors,82,19805,3466,7356,47%,942,2712,35%,2524,4644,54%,9213,-1932,37%,23-24,23-24 Toronto Raptors,33.07317073,56.63414634,89.70731707
2024,2023-24,Detroit Pistons,82,19755,3353,7236,46%,906,2602,35%,2447,4634,53%,9010,-2032,36%,23-24,23-24 Detroit Pistons,31.73170732,56.51219512,88.24390244
